id_transacao,id_tipo_transacao,id_pais_origem,id_pais_destino,id_produto,valor_monetario_transacao,quantidade_transacionada,id_transporte,id_cambio,descricao_tipo_transacao,descricao_transporte,data,id_moeda_origem,id_moeda_destino,taxa_cambio_transacao,descricao_moeda_origem,pais_moeda_origem,descricao_moeda_destino,pais_moeda_destino,nome_pais_origem,codigo_iso_pais_origem,bloco_id_origem,nome_pais_destino,codigo_iso_pais_destino,bloco_id_destino,valor_convertido_transacao
1,1,1,14,1,800.0,22,1,1,Importação,Marítimo,2023-01-01,6,1,5.3,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Brasil,BRA,1.0,México,MEX,3.0,4240.0
2,2,6,25,4,1711.17,29,2,2,Exportação,Aéreo,2023-01-01,5,1,5.769083,Euro,Zona do Euro,Real Brasileiro,Brasil,França,FRA,2.0,Emirados Árabes Unidos,ARE,8.0,9871.88175711
3,3,11,36,7,2622.34,36,3,3,Transferência entre filiais,Rodoviário,2023-01-01,9,1,0.779732,Yuan Chinês,China,Real Brasileiro,Brasil,Bélgica,BEL,2.0,Tailândia,THA,4.0,2044.72241288
4,4,16,7,10,3533.51,43,4,4,Compra internacional,Ferroviário,2023-01-01,10,6,0.007787,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Japão,JPN,5.0,Itália,ITA,2.0,27.51544237
5,5,21,18,13,4444.68,50,5,5,Venda internacional,Multimodal,2023-01-01,15,1,0.006281,Peso Chileno,Chile,Real Brasileiro,Brasil,Chile,CHL,7.0,Índia,IND,6.0,27.91703508
6,6,26,29,16,5355.85,57,6,6,Devolução internacional,Courier Internacional,2023-01-01,18,1,1.420835,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Arábia Saudita,SAU,8.0,Nova Zelândia,NZL,5.0,7609.779134750001
7,1,31,40,19,6266.02,64,1,1,Importação,Marítimo,2023-01-01,6,1,5.3,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Noruega,NOR,10.0,Nigéria,NGA,9.0,33209.906
8,2,36,11,22,7177.19,71,2,2,Exportação,Aéreo,2023-01-01,5,1,5.769083,Euro,Zona do Euro,Real Brasileiro,Brasil,Tailândia,THA,4.0,Bélgica,BEL,2.0,41405.804816769996
9,3,1,22,25,8088.36,78,3,3,Transferência entre filiais,Rodoviário,2023-01-01,9,1,0.779732,Yuan Chinês,China,Real Brasileiro,Brasil,Brasil,BRA,1.0,Peru,PER,7.0,6306.75311952
10,4,6,33,28,8999.53,85,4,4,Compra internacional,Ferroviário,2023-01-01,10,6,0.007787,Iene Japonês,Japão,Dólar Americano,Estados Unidos,França,FRA,2.0,Dinamarca,DNK,2.0,70.07934011
